year,month,day,avg_temp,avg_prcp,avg_hmdt,wnd_spd,avg_atm_press,trips
2024,November,Saturday,7.080333357,0.160416666,74.1426664,5.996000006,99.93466682,51959
2024,November,Sunday,11.22333331,1.888645809,80.69374963,6.73218751,99.20156264,44598
2024,November,Monday,11.92499999,7.559687466,87.51354186,7.053124966,99.03125008,45837
2024,November,Tuesday,10.31322914,5.654166654,78.34416672,7.855104163,99.19864583,47823
2024,November,Wednesday,8.261354163,2.211354185,75.69572926,6.095625016,99.2650001,45302
2024,November,Thursday,6.903749987,2.709166674,81.32135423,6.887083342,99.25104165,37646
2024,December,Sunday,2.065916668,3.650916691,89.32383308,6.2715,99.52916698,22216
2024,December,Monday,2.661249998,0.366416668,88.54958312,5.990833307,99.3559166,34484
2024,December,Tuesday,1.701916662,1.618500003,80.81966667,6.190583311,99.75233326,31223
2024,December,Wednesday,0.274105264,0.069791666,77.79260381,7.771458293,99.62020842,24126
2024,December,Thursday,-2.12368421,0.751770828,82.73583325,6.677187525,100.2302083,21994
2024,December,Friday,0.414687512,1.812604177,80.93843695,6.926874985,100.2056248,21027
2024,December,Saturday,2.111666656,1.466249991,79.34635476,7.185729196,100.0405207,21253
2025,January,Wednesday,-3.605966402,0.168416667,77.9469169,7.611416659,99.89816666,25469
2025,January,Thursday,-1.883666668,0.991083346,78.03633334,6.364166655,99.69291643,28326
2025,January,Friday,-1.974583347,3.72966668,84.36566648,7.786083345,99.32883313,21337
2025,January,Saturday,-2.427234054,0.007291667,74.62677046,7.871354165,99.51979152,15955
2025,January,Sunday,-4.968124993,0.38864583,79.67781266,7.758020813,99.84093785,11155
2025,January,Monday,-5.359255299,0.2315625,81.70041656,9.376249979,99.91770816,16194
2025,January,Tuesday,-5.908191476,0.102916667,83.30447948,7.249270807,100.1427081,18441
